trial_number,params,val_fitness,train_fitness,gen_gap,val_mean_recall,val_min_recall,val_max_recall,train_mean_recall,train_min_recall,n_iterations
21,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8727197301993326,0.9860601667329727,0.11334043653364012,0.9004582176266115,0.8542274052478134,0.9287833827893175,0.9891120781742848,0.9840255591054313,14
22,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8727197301993326,0.9860601667329727,0.11334043653364012,0.9004582176266115,0.8542274052478134,0.9287833827893175,0.9891120781742848,0.9840255591054313,14
23,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8727197301993326,0.9860601667329727,0.11334043653364012,0.9004582176266115,0.8542274052478134,0.9287833827893175,0.9891120781742848,0.9840255591054313,14
24,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8727197301993326,0.9860601667329727,0.11334043653364012,0.9004582176266115,0.8542274052478134,0.9287833827893175,0.9891120781742848,0.9840255591054313,14
25,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8727197301993326,0.9860601667329727,0.11334043653364012,0.9004582176266115,0.8542274052478134,0.9287833827893175,0.9891120781742848,0.9840255591054313,14
26,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8784166980206503,0.9873508921438761,0.1089341941232258,0.9015811036522084,0.8629737609329446,0.9354838709677419,0.9902218905538647,0.9854368932038835,20
27,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 4, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8712299854113319,0.9867897268970958,0.11555974148576387,0.9011070334991753,0.8513119533527697,0.9331797235023042,0.9902752881165257,0.9844660194174757,20
28,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8784166980206503,0.9873508921438761,0.1089341941232258,0.9015811036522084,0.8629737609329446,0.9354838709677419,0.9902218905538647,0.9854368932038835,20
29,"{'W_CHAR': 1, 'W_WORD': 4, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8752362378069312,0.9864665962815197,0.11123035847458851,0.8980031309604766,0.8600583090379009,0.9285714285714286,0.9900947060577372,0.9840478564307079,18
30,"{'W_CHAR': 1, 'W_WORD': 4, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8752362378069312,0.9864665962815197,0.11123035847458851,0.8980031309604766,0.8600583090379009,0.9285714285714286,0.9900947060577372,0.9840478564307079,18
