trial,train_mean_recall,val_mean_recall,val_min_recall,val_balanced_acc,overfitting,fitness,W_CHAR,W_WORD,W_BI,W_TRI,W_POS,CHAR_MIN,CHAR_MAX,alpha,learning_rate_init,activation,hidden_1,hidden_2
47,0.9894515594113642,0.8840107516056123,0.7855072463768116,0.8840107516056123,0.10544080780575193,0.819139296134096,2,10,10,4,5,3,4,0.011137900544207489,0.0003746824290735286,tanh,80,72
48,0.9872078161966928,0.8799343102781179,0.8028985507246377,0.8799343102781179,0.10727350591857499,0.8253868294527863,0,7,4,2,3,3,5,0.0003599945614060973,0.0037159576858676797,tanh,32,24
49,0.9900908996345218,0.9013105141025576,0.8434782608695652,0.9013105141025576,0.08878038553196421,0.8573706453666777,3,5,5,0,2,3,5,0.01605620546513682,0.0014155151834587697,tanh,112,32
50,0.989186773363481,0.8972295872760904,0.8173913043478261,0.8972295872760904,0.09195718608739067,0.8466995093539157,2,6,7,1,4,3,5,0.04231063954973079,0.00022659962908877493,tanh,64,48
51,0.9907289887463832,0.9076756724591278,0.8492753623188406,0.9076756724591278,0.08305331628725532,0.865628921273414,2,5,2,0,3,3,4,0.01569210207261749,0.0007674622918674061,tanh,96,64
52,0.9887659046484786,0.9021451606914567,0.8434782608695652,0.9021451606914567,0.0866207439570219,0.8582347187663781,2,5,0,0,3,3,4,0.006242517045439799,0.0008516959758854679,tanh,96,64
53,0.9900816665397929,0.897054301964837,0.8173913043478261,0.897054301964837,0.09302736457495586,0.8384417203922557,1,4,1,1,3,3,4,0.024806876197201937,0.0006213598122677085,tanh,176,88
54,0.9904031865844817,0.9029503374587026,0.8376811594202899,0.9029503374587026,0.08745284912577911,0.8578431594842891,2,8,2,2,4,3,4,0.00961330081887853,0.0010436930105615682,tanh,80,56
55,0.9911423416258945,0.9027606429873895,0.8434782608695652,0.9027606429873895,0.08838169863850509,0.8549850790327896,2,6,3,3,3,3,4,5.8367505192250485e-05,0.00038817147083377814,tanh,144,72
56,0.9905973280113066,0.9000366252076358,0.8260869565217391,0.9000366252076358,0.09056070280367079,0.8507713732000314,3,7,2,0,5,3,4,0.026816377842451992,0.0006986878886561182,relu,96,40
57,0.9890573472634525,0.8975355259528016,0.8289855072463768,0.8975355259528016,0.0915218213106509,0.8506096096855486,2,5,4,1,2,3,4,0.017151566886691994,0.00029784534167077287,relu,64,48
58,0.9893033756188442,0.8810013455483481,0.7884057971014493,0.8810013455483481,0.1083020300704961,0.8084716659790304,3,4,13,6,4,3,5,0.06832484686872015,0.0008563507136120144,tanh,256,56
59,0.9901131094147881,0.8974251662965635,0.808695652173913,0.8974251662965635,0.09268794311822459,0.8430623405006561,2,9,0,2,2,3,5,0.013292372614427773,0.0001218092394292353,relu,112,16
