trial_number,params,val_fitness,train_fitness,gen_gap,final_score,val_mean_recall,val_min_recall,n_iterations
57,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 10, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.7940132534727307,0.9780057631319181,0.18399250965918745,0.6380244889839495,0.8328592206383484,0.7681159420289855,15
58,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8623664393757717,0.9850527225861067,0.12268628321033492,0.7983370145602693,0.895046533222038,0.8405797101449275,20
59,"{'W_CHAR': 3, 'W_WORD': 8, 'W_BI': 15, 'W_TRI': 15, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8103798304360368,0.980344242243695,0.1699644118076582,0.6754332127245495,0.8607321847857441,0.7768115942028986,36
60,"{'W_CHAR': 3, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8512373266129626,0.9843410184719081,0.13310369185894555,0.7715817888245442,0.8889628817497978,0.8260869565217391,14
61,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
62,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
63,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
64,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 64, 'hidden_2': 32}",0.8522638348800022,0.9838820249107136,0.1316181900307114,0.7748365498339351,0.891529152417397,0.8260869565217391,26
65,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.8389582239035742,0.9794149735496958,0.14045674964612154,0.7482730994343919,0.8886999075850223,0.8057971014492754,13
66,"{'W_CHAR': 1, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8386045722233033,0.9799027352757703,0.141298163052467,0.7466573276446028,0.8834679522973885,0.808695652173913,21
67,"{'W_CHAR': 3, 'W_WORD': 4, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8496969635640443,0.9835343245020327,0.13383736093798837,0.7689409221570618,0.8894598002144587,0.8231884057971014,15
68,"{'W_CHAR': 2, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.823716203424474,0.9821254167995266,0.15840921337505254,0.7061023833618952,0.8766818129090111,0.7884057971014493,15
69,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 32}",0.8566156007210974,0.9835831721584194,0.12696757143732196,0.7861642435651145,0.8893650887592653,0.8347826086956521,15
70,"{'W_CHAR': 0, 'W_WORD': 8, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.8332541807552274,0.9821767118073471,0.14892253105211972,0.7298703841770477,0.8657441475402422,0.8115942028985508,18
71,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
72,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
73,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
74,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 10, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8265406559345289,0.9832833167477117,0.1567426608131829,0.7114266647147545,0.8750472920102351,0.7942028985507247,15
75,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.0001, 'hidden_1': 64, 'hidden_2': 32}",0.8562763559130415,0.98627508417665,0.12999872826360848,0.7812782635176287,0.892864802826082,0.8318840579710145,18
76,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 15, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8296988769725272,0.9835125645623005,0.15381368758977332,0.7189783455878672,0.8785950185182746,0.7971014492753623,29
77,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 15, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8078485745614157,0.9802474316192777,0.17239885705786206,0.6692502889746226,0.8544040450991911,0.7768115942028986,18
78,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8586728483635082,0.9851651694831955,0.12649232111968733,0.7889343666839772,0.8901603817783358,0.8376811594202899,24
79,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8337114321536074,0.9801224375321836,0.1464110053785762,0.7340949240857431,0.8755829282101053,0.8057971014492754,14
80,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8577799817732554,0.9842785468525019,0.1264985650792465,0.7880321341543857,0.8922760413896605,0.8347826086956521,22
81,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
82,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
83,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
84,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
85,"{'W_CHAR': 2, 'W_WORD': 4, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8448470205391074,0.98205476468807,0.13720774414896253,0.7590354043156636,0.881682768739073,0.8202898550724638,14
